pais,año,pct_uso_<=17,pct_uso_18_25,pct_uso_26_50,pct_uso_51_65,pct_uso_66_mas,pct_uso_total,brecha_joven_mayor,brecha_total_mayor,brecha_joven_total,pct_uso_<=17_lag1,pct_uso_18_25_lag1,pct_uso_26_50_lag1,pct_uso_51_65_lag1,pct_uso_66_mas_lag1,pct_uso_total_lag1,delta_pct_uso_<=17,delta_pct_uso_18_25,delta_pct_uso_26_50,delta_pct_uso_51_65,delta_pct_uso_66_mas,delta_pct_uso_total,años_desde_2000,años_desde_primer_registro_pais,categoria_adopcion,pais_Bolivia (Estado Plurinacional de),pais_Brasil,pais_Chile,pais_Colombia,pais_Costa Rica,pais_Ecuador,pais_El Salvador,pais_Honduras,pais_México,pais_Panamá,pais_Paraguay,pais_Perú,pais_Uruguay,pct_uso_<=17_z,pct_uso_18_25_z,pct_uso_26_50_z,pct_uso_51_65_z,pct_uso_66_mas_z,pct_uso_total_z,brecha_joven_mayor_z,brecha_total_mayor_z,brecha_joven_total_z,pct_uso_<=17_lag1_z,pct_uso_18_25_lag1_z,pct_uso_26_50_lag1_z,pct_uso_51_65_lag1_z,pct_uso_66_mas_lag1_z,pct_uso_total_lag1_z,delta_pct_uso_<=17_z,delta_pct_uso_18_25_z,delta_pct_uso_26_50_z,delta_pct_uso_51_65_z,delta_pct_uso_66_mas_z,delta_pct_uso_total_z
Bolivia (Estado Plurinacional de),2012,39.1,62.4,33.1,14.8,3.7,35.5,58.699999999999996,31.8,26.9,36.13333333333333,60.3,31.0,13.566666666666666,3.3000000000000003,33.5,2.9666666666666686,2.1000000000000014,2.1000000000000014,1.2333333333333343,0.3999999999999999,2.0,12,3,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.6200165156637147,-0.11384048989823485,-0.6466688066283396,-0.7172856036483998,-0.65992656855898,-0.5200545763890315,0.38981424248295027,-0.13043311866172605,1.1788727644550543,-0.686528949257151,-0.12379653340259171,-0.6489582717800736,-0.7080545566237414,-0.638769428488129,-0.5350613487552831,0.048411240632221866,-0.49595705463632783,-0.7251134338953799,-0.8089433501032295,-0.7492640625720202,-0.5780822298625593
Bolivia (Estado Plurinacional de),2013,38.9,66.6,36.8,17.6,5.2,37.1,61.39999999999999,31.900000000000002,29.499999999999993,39.1,62.4,33.1,14.8,3.7,35.5,-0.20000000000000284,4.199999999999996,3.6999999999999957,2.8000000000000007,1.5,1.6000000000000014,13,4,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.6287400154419067,0.06730859015199775,-0.5024076344347653,-0.5925845407469572,-0.5554353756001886,-0.4450260925736311,0.5438233813041331,-0.12236604116895261,1.5415660552976052,-0.5565936269849545,-0.032806081351686646,-0.564630360757804,-0.6495086542056687,-0.6080462863284998,-0.4384647159344707,-0.7010320037704381,0.2785606366918118,-0.12276186804098031,-0.24704924965976172,-0.26426894019809927,-0.7584528480948688
Bolivia (Estado Plurinacional de),2014,36.8,62.9,33.7,12.6,4.3,34.6,58.6,30.3,28.299999999999997,38.9,66.6,36.8,17.6,5.2,37.1,-2.1000000000000014,-3.6999999999999957,-3.0999999999999943,-5.000000000000002,-0.9000000000000004,-2.5,14,5,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.7203367631129212,-0.09227512322558809,-0.6232751030293815,-0.815265010213819,-0.6181300913754634,-0.562258098535194,0.38411020030438825,-0.25143928105332586,1.3741691518318127,-0.5653533116325185,0.14917482275012317,-0.41605261276618666,-0.516593632499774,-0.4928345032298903,-0.3611874096778206,-1.150697950412033,-2.635101154495004,-2.6827560229221836,-3.044564558250645,-1.3224401162866541,-2.6072516849760485
Bolivia (Estado Plurinacional de),2015,39.3,68.0,37.5,13.8,5.0,37.5,63.0,32.5,30.5,36.8,62.9,33.7,12.6,4.3,34.6,2.5,5.100000000000001,3.799999999999997,1.200000000000001,0.7000000000000002,2.8999999999999986,15,6,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.6112930158855231,0.12769161683540892,-0.4751149802359808,-0.7618216975417721,-0.5693675346613608,-0.42626897161978117,0.635088056161131,-0.07396357621231285,1.6810634748524336,-0.6573300004319385,-0.011141688006233072,-0.5405366718942984,-0.7539418855460146,-0.561961573089056,-0.4819332007038362,-0.062033026963959875,0.6104967901181604,-0.08511489517507968,-0.8208985437296862,-0.6169926655609508,-0.17224833883986207
Bolivia (Estado Plurinacional de),2016,33.8,72.6,45.0,18.1,5.1,39.4,67.5,34.3,33.199999999999996,39.3,68.0,37.5,13.8,5.0,37.5,-5.5,4.599999999999994,7.5,4.300000000000001,0.09999999999999964,1.8999999999999986,16,7,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8511892597857988,0.32609299022375887,-0.18269368524900545,-0.5703164938002709,-0.5624014551307748,-0.3371726470889934,0.8917699541964361,0.07124381865760669,2.0577065076504675,-0.5478339423373909,0.2098351241173934,-0.3879433090920967,-0.6969783048149167,-0.5081960743097049,-0.3418680831136582,-1.955363328612782,0.4260878159924097,1.3078231008632253,0.2909344635307926,-0.8815354595830897,-0.6231748844206374
Bolivia (Estado Plurinacional de),2017,27.2,66.1,45.0,17.4,5.1,36.1,60.99999999999999,31.0,29.999999999999993,33.8,72.6,45.0,18.1,5.1,39.4,-6.599999999999998,-6.5,0.0,-0.7000000000000028,0.0,-3.299999999999997,17,8,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.1390647524661295,0.04574322347935099,-0.18269368524900545,-0.6014917595256317,-0.5624014551307748,-0.4919188949582563,0.5210072125898838,-0.19496973860391267,1.6113147650750188,-0.7887252701453955,0.40914754289556604,-0.08677219829827719,-0.49285880719514996,-0.5005152887697977,-0.2501012819338864,-2.215696245089495,-3.667791409599194,-1.5156998640792825,-1.5023445804377233,-0.9256259252534459,-2.967992921440668
Bolivia (Estado Plurinacional de),2018,34.5,77.6,55.3,22.7,7.6,44.3,70.0,36.699999999999996,33.3,27.2,66.1,45.0,17.4,5.1,36.1,7.300000000000001,11.5,10.299999999999997,5.300000000000001,2.5,8.199999999999996,18,9,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8206570105621273,0.5417466569502265,0.21889822653310725,-0.3654504618907583,-0.38824946686612255,-0.10739791540433016,1.0343710086604945,0.2648536784841663,2.0716562496059505,-1.0777948635150008,0.1275104294046696,-0.08677219829827719,-0.5260875626216237,-0.5005152887697977,-0.40948572608822686,1.0739651540253337,2.970931658927735,2.361938341108427,0.6495902723244955,0.17663571650546517,2.217662352738246
Bolivia (Estado Plurinacional de),2019,33.2,79.2,60.3,30.4,12.0,47.5,67.2,35.5,31.700000000000003,34.5,77.6,55.3,22.7,7.6,44.3,-1.2999999999999972,1.6000000000000085,5.0,7.699999999999999,4.4,3.200000000000003,19,10,Emergente,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8773597591203741,0.6107558303026964,0.4138457565244241,-0.02252253891179122,-0.08174196752033461,0.0426590522264705,0.8746578276607493,0.16804874857088678,1.8484603783182272,-0.7580663738789221,0.6257914763501018,0.32683612719190147,-0.2744984143926088,-0.3084956502721152,-0.013439531522895913,-0.9613649202471498,-0.6803660287620732,0.36664877921572264,1.5103642134293818,1.0143545642422378,-0.03697037516562752
Bolivia (Estado Plurinacional de),2020,55.5,83.9,72.8,39.9,16.8,59.9,67.10000000000001,43.099999999999994,24.000000000000007,33.2,79.2,60.3,30.4,12.0,47.5,22.299999999999997,4.700000000000003,12.5,9.5,4.800000000000001,12.399999999999999,20,11,Avanzada,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09531046614801633,0.8134702770255761,0.9012145815027164,0.4005703530752461,0.25262984994779775,0.6241298017958224,0.8689537854821873,0.7811466380216587,0.7743302477460554,-0.8150043240880867,0.6951175350555535,0.5276168677211145,0.0910178952986015,0.029458913483805985,0.14111508099040418,4.623959469616875,0.46296961081756244,3.1901717441582305,2.155944669258047,1.1907164269236636,4.111553844177504
Bolivia (Estado Plurinacional de),2021,67.7,86.1,73.3,45.2,21.0,66.0,65.1,45.0,20.099999999999994,55.5,83.9,72.8,39.9,16.8,59.9,12.200000000000003,2.1999999999999886,0.5,5.300000000000004,4.199999999999999,6.100000000000001,21,12,Avanzada,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6274439526177189,0.9083578903852214,0.9207093345018481,0.6366116507101197,0.5452051902324134,0.910175896342036,0.7548729419109397,0.9344211103843523,0.2302903114822261,0.16170051411527708,0.8987628325028173,1.029568719044147,0.5419795760864584,0.3981366193993564,0.7400142044794414,2.233629963785238,-0.4590752598111829,-1.327464999749782,0.6495902723244967,0.9261736329015244,1.2707166070186204
Brasil,2005,27.9,31.3,20.6,9.5,1.9,20.9,29.400000000000002,19.0,10.400000000000002,,,,,,,,,,,,,5,0,Inicial,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1085325032424582,-1.4552062969368633,-1.1340376316066318,-0.9533269012832732,-0.7853160001095296,-1.204689491204559,-1.281470115835814,-1.1630190377367111,-1.1228346581996003,,,,,,,,,,,,
Brasil,2006,37.03333333333333,38.7,24.533333333333335,11.2,2.433333333333333,25.53333333333333,36.26666666666667,23.099999999999998,13.166666666666671,27.9,31.3,20.6,9.5,1.9,20.9,9.133333333333333,7.400000000000002,3.9333333333333336,1.6999999999999993,0.5333333333333332,4.633333333333333,6,1,Emergente,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7101593467050307,-1.136038870181691,-0.9806789080134626,-0.8776155416645403,-0.7481635759464038,-0.9874195068224624,-0.8897925529078666,-0.8322688605330052,-0.7368917974312437,-1.0471359672485276,-1.3803313474388987,-1.0665822120808366,-0.9010978024346836,-0.7463004260468312,-1.1436201355264017,1.5078533481531884,1.4587780710966014,-0.03491893135387838,-0.6415706393328354,-0.6904767750115449,0.609357673500149
Brasil,2007,46.166666666666664,46.1,28.466666666666665,12.9,2.966666666666667,30.166666666666664,43.13333333333333,27.199999999999996,15.933333333333337,37.03333333333333,38.7,24.533333333333335,11.2,2.433333333333333,25.53333333333333,9.133333333333333,7.399999999999999,3.93333333333333,1.700000000000001,0.5333333333333337,4.633333333333333,7,2,Emergente,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.3117861901676031,-0.8168714434265191,-0.8273201844202934,-0.8019041820458072,-0.711011151783278,-0.7701495224403658,-0.4981149899799199,-0.5015186833292993,-0.35094893666288746,-0.647110368343114,-1.0596983259261858,-0.9086346961978556,-0.8203993963989619,-0.7053362365006589,-0.9198379361581862,1.5078533481531884,1.4587780710966003,-0.03491893135387972,-0.6415706393328348,-0.6904767750115448,0.609357673500149
Brasil,2008,55.3,53.5,32.4,14.6,3.5,34.8,50.0,31.299999999999997,18.700000000000003,46.166666666666664,46.1,28.466666666666665,12.9,2.966666666666667,30.166666666666664,9.133333333333333,7.399999999999999,3.9333333333333336,1.6999999999999993,0.5333333333333332,4.633333333333333,8,3,Emergente,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08658696636982437,-0.4977040166713471,-0.673961460827124,-0.7261928224270744,-0.6738587276201522,-0.5528795380582693,-0.10643742705197277,-0.17076850612559294,0.03499392410546867,-0.2470847694377004,-0.739065304413473,-0.7506871803148749,-0.7397009903632401,-0.6643720469544867,-0.6960557367899707,1.5078533481531884,1.4587780710966003,-0.03491893135387838,-0.6415706393328354,-0.6904767750115449,0.609357673500149
Brasil,2009,63.3,62.8,40.2,19.6,5.3,41.6,57.5,36.300000000000004,21.199999999999996,55.3,53.5,32.4,14.6,3.5,34.8,8.0,9.299999999999997,7.800000000000004,5.000000000000002,1.7999999999999998,6.800000000000004,9,4,Emergente,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4355269574974981,-0.0965881965601175,-0.36984331404066956,-0.5035123529602125,-0.5484692960696026,-0.23400848184281792,0.32136573634020243,0.2325853685130737,0.38373747299253663,0.15294082946771317,-0.4184322829007602,-0.5927396644318941,-0.6590025843275183,-0.6234078574083144,-0.47227353742175515,1.2396315554196053,2.1595321727744423,1.4207640194609272,0.541993529686385,-0.13199754318703003,1.5863651889251644
